N E Topografia b-sedidmentos b-basalto b-and-cuater b-toba b-and-terc b-lechos
2171.5 566.5 -1.829 -1.813685301 -1.748808487 -1.748808487 -1.680937895 -1.132672433 -1.132672433
2171.5 567.5 -1.834 -1.823469425 -1.760390208 -1.760390208 -1.734718962 -1.134718962 -1.134718962
2171.5 568.5 -1.842 -1.832 -1.766651726 -1.766651726 -1.734732633 -1.134732633 -1.134732633
2172.5 436 -2.318 -2.318 -2.304692955 -2.302681634 -2.302681634 -2.170979702 -2.074708231
2172.5 536.5 -2.281 -2.281 -2.248547318 -2.248547318 -2.248547318 -2.062478391 -1.970229894
2172.5 537.5 -2.242 -2.242 -2.232 -2.1254109 -2.037379373 -1.942521751 -1.847572628
2172.5 538.5 -2.134 -2.134 -2.001591134 -2.001591134 -2.001591134 -1.823546899 -1.731854231
2172.5 539.5 -2.05 -2.05 -1.895049005 -1.895049005 -1.895049005 -1.72083409 -1.630451092
2172.5 540.5 -2.002 -2.002 -1.896131483 -1.828680429 -1.648366434 -1.645944119 -1.547060046
2172.5 541.5 -1.959 -1.959 -1.949 -1.787094721 -1.587094721 -1.587094721 -1.487094721
2172.5 542.5 -1.916 -1.916 -1.916 -1.745358412 -1.545358412 -1.545358412 -1.445358412
2172.5 543.5 -1.887 -1.746407232 -1.746407232 -1.710622918 -1.511735537 -1.511735537 -1.411735537
2172.5 544.5 -1.884 -1.786799806 -1.786799806 -1.685779119 -1.488320537 -1.488320537 -1.388320537
2172.5 545.5 -1.882 -1.882 -1.882 -1.66948964 -1.473175907 -1.473175907 -1.373175907
2172.5 546.5 -1.868 -1.868 -1.868 -1.663579499 -1.463579499 -1.463579499 -1.363579499
2172.5 547.5 -1.846 -1.846 -1.846 -1.678438484 -1.478438484 -1.437717637 -1.361801681
2172.5 548.5 -1.821 -1.821 -1.821 -1.711329989 -1.676379236 -1.391618812 -1.363458644
2172.5 549.5 -1.826 -1.826 -1.826 -1.769256036 -1.769256036 -1.351097388 -1.351097388
2172.5 550.5 -1.922 -1.922 -1.922 -1.849972973 -1.849972973 -1.32719636 -1.32719636
2172.5 551.5 -2.068 -2.068 -2.068 -1.905839973 -1.905839973 -1.305839973 -1.305839973
2172.5 552.5 -1.943 -1.943 -1.943 -1.87770027 -1.87770027 -1.27770027 -1.27770027
2172.5 553.5 -1.859 -1.859 -1.859 -1.842189647 -1.842189647 -1.248650839 -1.248650839
2172.5 554.5 -1.838 -1.838 -1.838 -1.828 -1.828 -1.232585872 -1.232585872
2172.5 555.5 -1.835 -1.835 -1.835 -1.824850294 -1.824850294 -1.229082051 -1.229082051
2172.5 556.5 -1.83 -1.83 -1.83 -1.82 -1.82 -1.231599915 -1.231599915
2172.5 557.5 -1.821 -1.811 -1.811 -1.811 -1.807136754 -1.229626541 -1.229626541
2172.5 558.5 -1.817 -1.79417635 -1.79417635 -1.79417635 -1.689263249 -1.214667603 -1.214667603
